Data;dolar australian (lei) CURSZ_AUD;dolar canadian (lei) CURSZ_CAD;franc elveţian (lei) CURSZ_CHF;euro (lei) CURSZ_EUR;leu moldovenesc (lei) CURSZ_MDL;dolar SUA (lei) CURSZ_USD
09.11.2023;2,9771;3,3712;5,1603;4,9673;0,2591;4,6471
08.11.2023;2,9929;3,3784;5,1639;4,9674;0,2586;4,6566
07.11.2023;2,9881;3,3842;5,1664;4,9696;0,2557;4,6514
06.11.2023;3,0084;3,388;5,1564;4,9695;0,2578;4,6224
03.11.2023;3,0094;3,3982;5,1613;4,9701;0,2578;4,6698
02.11.2023;3,0119;3,384;5,1734;4,9693;0,2599;4,6735
01.11.2023;2,9851;3,3911;5,1817;4,9685;0,2567;4,7086
31.10.2023;2,9659;3,3705;5,1639;4,9669;0,2584;4,6585
30.10.2023;2,9898;3,3901;5,1929;4,9647;0,2597;4,6943
27.10.2023;2,9885;3,4083;5,2266;4,9681;0,2603;4,7033
26.10.2023;2,9734;3,4135;5,2391;4,9643;0,2586;4,7077
25.10.2023;2,9723;3,4079;5,2397;4,9628;0,2566;4,6956
24.10.2023;2,9701;3,4097;5,2262;4,9678;0,2569;4,6672
23.10.2023;2,9546;3,4213;5,2568;4,9724;0,2579;4,694
20.10.2023;2,9634;3,4291;5,2654;4,9734;0,2588;4,6981
19.10.2023;2,972;3,4343;5,2467;4,972;0,2595;4,7177
18.10.2023;2,9992;3,4521;5,2346;4,9705;0,2595;4,7038
17.10.2023;2,9903;3,4527;5,2205;4,9676;0,2608;4,7073
16.10.2023;2,9803;3,4546;5,2221;4,9654;0,2609;4,7123
13.10.2023;2,9753;3,4463;5,1922;4,9645;0,2579;4,7146
12.10.2023;2,9954;3,4393;5,1941;4,9627;0,2574;4,6739
11.10.2023;3,0058;3,4415;5,1838;4,9658;0,2574;4,6803
10.10.2023;3,0043;3,4451;5,1782;4,9656;0,2584;4,681
09.10.2023;3,0014;3,4534;5,1787;4,9682;0,2583;4,7168
06.10.2023;2,9912;3,4291;5,153;4,9631;0,2587;4,7028
05.10.2023;2,9961;3,4327;5,1559;4,97;0,2596;4,7293
04.10.2023;2,9983;3,4605;5,157;4,9752;0,2607;4,7387
03.10.2023;2,9934;3,4556;5,1499;4,9745;0,2589;4,743
02.10.2023;3,0182;3,4671;5,1701;4,9744;0,2569;4,7191
29.09.2023;3,0414;3,4896;5,1446;4,9746;0,26;4,6864
28.09.2023;3,0157;3,5009;5,1471;4,9749;0,2597;4,7214
27.09.2023;3,0033;3,4804;5,1393;4,9743;0,2584;4,7112
26.09.2023;3,0057;3,4756;5,14;4,9696;0,2567;4,6874
25.09.2023;2,9996;3,4665;5,1335;4,9677;0,2569;4,6717
22.09.2023;3,0071;3,4698;5,1538;4,9675;0,2571;4,6709
21.09.2023;2,9882;3,4561;5,1566;4,9707;0,2573;4,6638
20.09.2023;3,0068;3,4588;5,1812;4,9711;0,2578;4,6481
19.09.2023;3,0019;3,4576;5,1851;4,9691;0,2593;4,6505
18.09.2023;2,9962;3,4459;5,1974;4,9679;0,2597;4,6546
15.09.2023;3,0072;3,4491;5,2031;4,969;0,2575;4,6583
14.09.2023;2,9778;3,4229;5,1855;4,9695;0,2573;4,6329
13.09.2023;2,9688;3,4155;5,1884;4,9697;0,2578;4,6316
12.09.2023;2,9786;3,4129;5,1958;4,969;0,2577;4,6335
11.09.2023;2,9773;3,4045;5,1899;4,966;0,2585;4,629
08.09.2023;2,9666;3,394;5,2018;4,9643;0,2588;4,6378
07.09.2023;2,9572;3,3951;5,1946;4,9632;0,2584;4,634
06.09.2023;2,9534;3,385;5,1945;4,9615;0,2588;4,624
05.09.2023;2,937;3,3719;5,1858;4,9491;0,2566;4,6025
04.09.2023;2,9611;3,3683;5,1809;4,9465;0,2556;4,5809
01.09.2023;2,9506;3,3744;5,1613;4,944;0,254;4,5563
31.08.2023;2,9391;3,3542;5,1506;4,9412;0,2559;4,5441
30.08.2023;2,9348;3,3459;5,161;4,9424;0,256;4,5389
29.08.2023;2,9455;3,3602;5,1679;4,9418;0,2558;4,5717
28.08.2023;2,926;3,3585;5,1692;4,9358;0,2562;4,5679
25.08.2023;2,938;3,3681;5,1664;4,9388;0,2549;4,5768
24.08.2023;2,9316;3,3574;5,1635;4,9345;0,2557;4,5471
23.08.2023;2,9342;3,3667;5,1871;4,9405;0,2539;4,5686
22.08.2023;2,9207;3,3472;5,1621;4,9373;0,2538;4,5276
21.08.2023;2,9054;3,3517;5,1547;4,9416;0,2562;4,5319
18.08.2023;2,9091;3,358;5,1672;4,9442;0,2567;4,5493
17.08.2023;2,9104;3,3571;5,1635;4,9345;0,2561;4,5398
16.08.2023;2,9195;3,3493;5,1429;4,9354;0,2565;4,519
14.08.2023;2,9319;3,3567;5,1484;4,9422;0,2547;4,5134
11.08.2023;2,9352;3,3459;5,1298;4,9418;0,2527;4,5007
10.08.2023;2,9397;3,3465;5,1351;4,9433;0,2545;4,4866
09.08.2023;2,9508;3,3586;5,1455;4,9477;0,2556;4,5049
08.08.2023;2,9386;3,3565;5,1549;4,9497;0,2557;4,5112
07.08.2023;2,9623;3,3707;5,1469;4,949;0,2568;4,511
04.08.2023;2,9683;3,3857;5,1566;4,9521;0,2553;4,5258
03.08.2023;2,9486;3,379;5,1555;4,9382;0,2524;4,5197
02.08.2023;2,9581;3,3758;5,1248;4,9339;0,2505;4,4948
01.08.2023;2,9844;3,3926;5,1387;4,9334;0,249;4,4964
31.07.2023;2,9949;3,38;5,1405;4,9346;0,2509;4,4712
28.07.2023;2,9909;3,3993;5,1627;4,9322;0,2493;4,4944
27.07.2023;3,0106;3,3611;5,1713;4,9285;0,252;4,4289
26.07.2023;3,0078;3,37;5,1666;4,9292;0,2532;4,4515
25.07.2023;3,0134;3,3805;5,1245;4,9198;0,2533;4,4539
24.07.2023;2,9968;3,3694;5,1294;4,9245;0,2536;4,4437
21.07.2023;2,9955;3,3691;5,1208;4,9377;0,2512;4,4374
20.07.2023;3,0105;3,3561;5,133;4,9403;0,25;4,4061
19.07.2023;2,9817;3,3426;5,1315;4,9465;0,2464;4,4033
18.07.2023;2,9921;3,3266;5,1147;4,9385;0,2454;4,3915
17.07.2023;2,9935;3,3249;5,1217;4,9406;0,2438;4,3961
14.07.2023;3,0247;3,3547;5,1301;4,9426;0,2435;4,4014
13.07.2023;3,0295;3,3616;5,1249;4,9437;0,2461;4,4247
12.07.2023;3,0042;3,3997;5,1133;4,951;0,2461;4,4907
11.07.2023;3,0002;3,3892;5,0982;4,9501;0,2467;4,4968
10.07.2023;2,9987;3,398;5,0765;4,9514;0,2477;4,5134
07.07.2023;3,023;3,4045;5,0829;4,954;0,2479;4,551
06.07.2023;3,0357;3,4273;5,0763;4,9507;0,2476;4,557
05.07.2023;3,0321;3,423;5,0557;4,9473;0,2472;4,5415
04.07.2023;3,0367;3,4321;5,0733;4,9503;0,2475;4,5426
03.07.2023;3,0274;3,4303;5,0551;4,9517;0,2493;4,5495
30.06.2023;3,0299;3,4515;5,0769;4,9634;0,2486;4,575
29.06.2023;3,0078;3,4272;5,0727;4,9644;0,2483;4,5478
28.06.2023;3,0053;3,4246;5,0561;4,9583;0,2488;4,5277
27.06.2023;3,0352;3,4512;5,0687;4,963;0,2507;4,5361
26.06.2023;3,0341;3,453;5,084;4,9556;0,2521;4,5473
23.06.2023;3,0545;3,4565;5,0741;4,9561;0,2496;4,5645
22.06.2023;3,0656;3,4325;5,0461;4,9636;0,2523;4,512
21.06.2023;3,0739;3,4346;5,0622;4,9627;0,2527;4,5433
20.06.2023;3,0841;3,4355;5,0644;4,9631;0,2535;4,5425
19.06.2023;3,1135;3,4402;5,0678;4,9596;0,2528;4,5426
16.06.2023;3,1136;3,4256;5,078;4,9604;0,256;4,5317
15.06.2023;3,1175;3,4317;5,0714;4,9586;0,2574;4,5731
14.06.2023;3,1132;3,4523;5,0804;4,9559;0,2574;4,5862
13.06.2023;3,111;3,438;5,0671;4,9609;0,2582;4,5911
12.06.2023;3,1117;3,4502;5,0915;4,9568;0,2582;4,599
09.06.2023;3,0907;3,4531;5,1085;4,956;0,2588;4,6047
08.06.2023;3,0855;3,4603;5,0759;4,9543;0,2593;4,6181
07.06.2023;3,0987;3,4608;5,113;4,9578;0,26;4,635
06.06.2023;3,0871;3,4573;5,1136;4,9615;0,2602;4,6393
02.06.2023;3,0571;3,4361;5,0913;4,9633;0,2599;4,6099
31.05.2023;3,0176;3,4138;5,1125;4,9696;0,2603;4,6562
30.05.2023;3,0306;3,4104;5,1284;4,964;0,2599;4,6302
29.05.2023;3,0266;3,4036;5,1206;4,958;0,2588;4,6276
26.05.2023;3,0134;3,3885;5,1137;4,9575;0,2601;4,6194
25.05.2023;3,016;3,3987;5,0998;4,9578;0,2598;4,6192
24.05.2023;3,028;3,3997;5,103;4,9624;0,2597;4,6046
23.05.2023;3,0528;3,4042;5,1176;4,971;0,2591;4,6096
22.05.2023;3,0573;3,4078;5,1396;4,978;0,2605;4,6012
19.05.2023;3,0701;3,4203;5,1083;4,9783;0,2594;4,6091
18.05.2023;3,0515;3,4124;5,1061;4,9731;0,2589;4,5975
17.05.2023;3,0455;3,3932;5,0942;4,961;0,2561;4,5816
16.05.2023;3,0352;3,3706;5,0842;4,9462;0,2554;4,5382
15.05.2023;3,0343;3,3601;5,0644;4,9365;0,2543;4,5435
12.05.2023;3,0236;3,3521;5,0612;4,9324;0,2536;4,5226
11.05.2023;3,0398;3,3649;5,0442;4,9294;0,2525;4,511
10.05.2023;3,0354;3,3551;5,0439;4,9221;0,25;4,4922
09.05.2023;3,0298;3,3513;5,026;4,9202;0,2485;4,4806
08.05.2023;3,0295;3,3457;5,0202;4,9256;0,2487;4,4634
05.05.2023;3,0066;3,308;5,0082;4,9273;0,2488;4,468
04.05.2023;2,9761;3,2781;5,0252;4,9295;0,2491;4,4601
03.05.2023;2,9718;3,277;5,0302;4,9298;0,2505;4,4654
02.05.2023;3,0101;3,3136;5,0033;4,929;0,2498;4,4989
28.04.2023;2,9581;3,2888;5,0133;4,9353;0,248;4,4915
27.04.2023;2,9621;3,2864;5,0128;4,9439;0,2484;4,4794
26.04.2023;2,9513;3,2821;5,0278;4,9401;0,2482;4,4743
25.04.2023;2,981;3,2943;5,0447;4,934;0,2495;4,4704
24.04.2023;2,9924;3,3066;5,0327;4,9293;0,2496;4,4751
21.04.2023;3,016;3,3344;5,0443;4,9401;0,2501;4,5092
20.04.2023;3,0211;3,3388;5,0216;4,9305;0,2511;4,4966
19.04.2023;3,0209;3,3591;5,017;4,933;0,2507;4,5145
18.04.2023;3,0305;3,3659;5,0172;4,9372;0,2487;4,4994
13.04.2023;3,0182;3,3469;5,0371;4,9432;0,2504;4,4844
12.04.2023;3,0098;3,3574;5,008;4,9381;0,2499;4,5196
11.04.2023;3,0109;3,3485;4,9995;4,9338;0,2495;4,5223
10.04.2023;3,0187;3,3501;4,9891;4,9315;0,249;4,521
07.04.2023;3,0232;3,3504;5,0012;4,9367;0,2489;4,5233
06.04.2023;3,0338;3,3595;5,0005;4,937;0,2474;4,5283
05.04.2023;3,0107;3,3407;4,9736;4,9316;0,2469;4,5027
04.04.2023;3,0518;3,3669;4,9556;4,938;0,2478;4,5158
03.04.2023;3,0562;3,3787;4,9675;4,9419;0,2476;4,5539
31.03.2023;3,0446;3,3557;4,9573;4,9491;0,2471;4,5463
30.03.2023;3,0513;3,3636;4,9726;4,9485;0,2473;4,5545
29.03.2023;3,0433;3,3539;4,9695;4,9479;0,2475;4,5594
28.03.2023;3,0519;3,3416;4,9827;4,9481;0,2482;4,574
27.03.2023;3,0513;3,3444;5,0084;4,9405;0,2483;4,5913
24.03.2023;3,0469;3,3324;4,9881;4,9255;0,2437;4,5904
23.03.2023;3,0391;3,3086;4,9374;4,9214;0,2449;4,525
22.03.2023;3,0576;3,3316;4,9467;4,9232;0,2451;4,5644
21.03.2023;3,0548;3,3477;4,9434;4,9209;0,2465;4,5755
20.03.2023;3,0799;3,3593;4,9593;4,9219;0,2485;4,6021
17.03.2023;3,0962;3,3745;4,9896;4,92;0,2489;4,6271
16.03.2023;3,0801;3,3698;4,9881;4,919;0,2492;4,6371
15.03.2023;3,0727;3,3679;5,0298;4,9207;0,2456;4,6258
14.03.2023;3,0563;3,3472;5,0487;4,9253;0,2462;4,5975
13.03.2023;3,0504;3,3392;5,0341;4,9155;0,2475;4,6053
10.03.2023;3,0562;3,3532;4,9927;4,9136;0,2476;4,6385
09.03.2023;3,0774;3,3732;4,961;4,9156;0,2457;4,6523
08.03.2023;3,0799;3,3903;4,9476;4,9157;0,2455;4,6627
07.03.2023;3,0791;3,3871;4,9489;4,9209;0,2458;4,6149
06.03.2023;3,1155;3,4029;4,9528;4,9209;0,246;4,6297
03.03.2023;3,1315;3,4167;4,9408;4,9213;0,2454;4,6349
02.03.2023;3,116;3,4042;4,9201;4,9218;0,2439;4,636
01.03.2023;3,1268;3,3992;4,9324;4,9267;0,2454;4,6256
28.02.2023;3,1203;3,4156;4,9425;4,92;0,2468;4,6376
27.02.2023;3,1277;3,425;4,9494;4,9185;0,2468;4,6559
24.02.2023;3,1494;3,4209;4,9674;4,917;0,2465;4,6426
23.02.2023;3,1598;3,4242;4,9709;4,9115;0,2459;4,6335
22.02.2023;3,1593;3,4161;4,9919;4,9248;0,2463;4,6307
21.02.2023;3,1773;3,4292;4,9899;4,9193;0,2455;4,6169
20.02.2023;3,1774;3,4201;4,9867;4,9196;0,2471;4,6046
17.02.2023;3,1449;3,4106;4,9418;4,904;0,2447;4,6075
16.02.2023;3,1661;3,4202;4,964;4,9007;0,2443;4,5758
15.02.2023;3,153;3,4105;4,957;4,8993;0,243;4,5711
14.02.2023;3,175;3,4165;4,9605;4,9012;0,2447;4,5578
13.02.2023;3,1794;3,4362;4,9741;4,9037;0,2441;4,5915
10.02.2023;3,1747;3,4074;4,9658;4,9045;0,242;4,5802
09.02.2023;3,1666;3,3863;4,9461;4,89;0,2419;4,5374
08.02.2023;3,1791;3,4061;4,9559;4,8962;0,2434;4,555
07.02.2023;3,1696;3,4092;4,9405;4,9022;0,2427;4,5747
06.02.2023;3,1404;3,3896;4,9186;4,9036;0,2392;4,557
03.02.2023;3,166;3,358;4,9076;4,9005;0,2362;4,4823
02.02.2023;3,178;3,3577;4,9026;4,9024;0,2389;4,4632
01.02.2023;3,1945;3,3913;4,9264;4,9148;0,2417;4,5152
31.01.2023;3,1795;3,3781;4,8998;4,9221;0,2408;4,5466
30.01.2023;3,1876;3,3744;4,8925;4,903;0,2401;4,4936
27.01.2023;3,1965;3,3738;4,8793;4,8922;0,2384;4,4928
26.01.2023;3,1889;3,347;4,8787;4,8858;0,2384;4,4803
25.01.2023;3,1958;3,371;4,8877;4,9016;0,2386;4,5101
23.01.2023;3,1648;3,3786;4,9102;4,9198;0,2399;4,5132
20.01.2023;3,151;3,3751;4,9445;4,9255;0,2398;4,5451
19.01.2023;3,1358;3,3747;4,9653;4,9293;0,2399;4,5551
18.01.2023;3,1924;3,402;4,9796;4,9355;0,2393;4,5455
17.01.2023;3,1629;3,3942;4,9386;4,9314;0,2386;4,5583
16.01.2023;3,1781;3,4076;4,925;4,9405;0,2388;4,5614
13.01.2023;3,1805;3,4159;4,9145;4,9413;0,2395;4,5588
12.01.2023;3,1678;3,4154;4,9209;4,9359;0,2394;4,5851
11.01.2023;3,1678;3,4174;4,9726;4,9328;0,2393;4,5891
10.01.2023;3,1629;3,4259;4,9798;4,9253;0,2396;4,5868
09.01.2023;3,1886;3,4446;4,9908;4,9252;0,2443;4,6151
06.01.2023;3,1613;3,4416;4,9914;4,9293;0,2422;4,6894
05.01.2023;3,1682;3,4359;5,0041;4,9243;0,2423;4,6388
04.01.2023;3,1902;3,4244;5,0052;4,9264;0,2442;4,6388
03.01.2023;3,1363;3,4311;4,9834;4,9273;0,2407;4,6766
30.12.2022;3,1491;3,4232;5,0289;4,9474;0,2428;4,6346
29.12.2022;3,1242;3,4212;5,0249;4,9458;0,2424;4,6501
28.12.2022;3,1488;3,4413;5,0082;4,9463;0,2415;4,6501
27.12.2022;3,1177;3,4156;4,9834;4,9278;0,2413;4,6221
23.12.2022;3,0977;3,3944;4,9648;4,902;0,2395;4,618
22.12.2022;3,1036;3,3842;4,9826;4,8981;0,239;4,6056
